"workerId","place","scenario_base","scenario_num","causal_value","counterfactual_value","embedded_prompt"
"85754","Airport","scenario_3_","1","If someone brings water through security, security will take the water, then the person will have to purchase a new water.","If someone would've brought a water through security, then they would not come out of security with that water.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone brings water through security, security will take the water, then the person will have to purchase a new water..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Airport","scenario_3_","2","If someone prints their plane tickets ahead of time, they wont have to print them at the airport, and then it will take less long.","If someone wouldn't print their tickets ahead of time, then they would have to find a place to print their airline tickets.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone prints their plane tickets ahead of time, they wont have to print them at the airport, and then it will take less long..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Airport","scenario_3_","3","if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage.","If someone wouldn't loose their luggage, then they will retrieve their luggage when they arrive in their destination","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Classroom","scenario_2_","1","If someone writes on a chalkboard, they will have to use an eraser to remove the writing","If someone would've wrote with marker instead of chalk, then they might not be able to use the eraser.","Imagine a typical Classroom. Now consider this statement about that place

STATEMENT:
If someone writes on a chalkboard, they will have to use an eraser to remove the writing.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Classroom","scenario_2_","2","If someone forgets a pencil on the day of the exam, they will have to ask there classmates to borrow a pencil for the exam","If someone would've forgot a pencil on the day of the exam, then they would have to ask around to see if they could borrow a pencil.","Imagine a typical Classroom. Now consider this statement about that place

STATEMENT:
If someone forgets a pencil on the day of the exam, they will have to ask there classmates to borrow a pencil for the exam.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Classroom","scenario_2_","3","If the teacher brings a treat for the class, they will pass it out to the students, so then they will eat the treat","If a teacher would've brought a treat into the class, then they would have to make sure everyone who wanted a treat got one. ","Imagine a typical Classroom. Now consider this statement about that place

STATEMENT:
If the teacher brings a treat for the class, they will pass it out to the students, so then they will eat the treat.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Grocery store","scenario_1_","1","If a man put stawberries on his grocery list, then he will have to find them at the grocery store and then purchase them","If a man would've forgotten to purchase the strawberries at the grocery store, then he would have had to go back and purchase the strawberries at a different time.","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If a man put stawberries on his grocery list, then he will have to find them at the grocery store and then purchase them.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Grocery store","scenario_1_","2","If someone needs flour for a cake, the will drive to a grocery store, and purchase flour","If someone didn't need to buy flour for the cake, then they would have made the cake without going to the grocery store.","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If someone needs flour for a cake, the will drive to a grocery store, and purchase flour.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"85754","Grocery store","scenario_1_","3","If someone forgets to bring a payment to the grocery store, they will have to leave and come back at another time","If someone would've remembered to bring a form of payment, then they would purchase their groceries and bring them home. ","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If someone forgets to bring a payment to the grocery store, they will have to leave and come back at another time.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","gym","scenario_3_","1","If you run 4 laps around the track then you ran a mile","If you ran 4 laps around the track, then you would've ran a mile","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If you run 4 laps around the track then you ran a mile.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","gym","scenario_3_","2","If you need a break from your reps then drink water","If you needed a break from your reps, then you would've drank water","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If you need a break from your reps then drink water.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","gym","scenario_3_","3","If you continuously lift weights then you will see gains","If you continuously lifted weights, then you would've seen gains","Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If you continuously lift weights then you will see gains.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","restaurant","scenario_2_","1","If the food is hot then you might burn your mouth","If the food was hot, then you would've burned your mouth","Imagine a typical restaurant. Now consider this statement about that place

STATEMENT:
If the food is hot then you might burn your mouth.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","restaurant","scenario_2_","2","If the waiter asks what you want to eat then you should order","If the waiter asked what you wanted to eat, then you would've ordered","Imagine a typical restaurant. Now consider this statement about that place

STATEMENT:
If the waiter asks what you want to eat then you should order.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","restaurant","scenario_2_","3","If your plate is cleared then you are ready for the check","If your plate is cleared, then you would've been ready for the check","Imagine a typical restaurant. Now consider this statement about that place

STATEMENT:
If your plate is cleared then you are ready for the check.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","beach","scenario_1_","1","If the waves crash then you might drown","If the waves would've crashed, then you might have drowned","Imagine a typical beach. Now consider this statement about that place

STATEMENT:
If the waves crash then you might drown.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","beach","scenario_1_","2","If the sand is hot the you might burn your feet","If the sand would've been hot, then you might burn your feet","Imagine a typical beach. Now consider this statement about that place

STATEMENT:
If the sand is hot the you might burn your feet.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86660","beach","scenario_1_","3","If the sun is out then it will be warm and you can tan","If the sun was out, then it would've been hot","Imagine a typical beach. Now consider this statement about that place

STATEMENT:
If the sun is out then it will be warm and you can tan.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Bedroom ","scenario_3_","1","If I threw all of my clothes on the floor, than my room would be very messy ","If I wouldn't have thrown all of my clothes on the floor, my room wouldn't be so messy ","Imagine a typical Bedroom . Now consider this statement about that place

STATEMENT:
If I threw all of my clothes on the floor, than my room would be very messy .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Bedroom ","scenario_3_","2","If my mom cooked dinner, than my family would sit at the table ","If mom wouldn't have made dinner, my family would not have sat at the table ","Imagine a typical Bedroom . Now consider this statement about that place

STATEMENT:
If my mom cooked dinner, than my family would sit at the table .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Bedroom ","scenario_3_","3","If the child made a mess, someone would have to clean it up ","If the child would've made less of a mess, no one would have had to clean it up ","Imagine a typical Bedroom . Now consider this statement about that place

STATEMENT:
If the child made a mess, someone would have to clean it up .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Grocery store","scenario_1_","1","If the woman forgot her money, than someone would help her pay ","If the woman wouldn't have forgotten her money, she wouldn't have needed someone to pay for her ","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If the woman forgot her money, than someone would help her pay .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Grocery store","scenario_1_","2","If the man knocked over the pile of paper towels, than the worker would be mad","If the man would've been more careful, he wouldn't  have knocked over the pile of paper towels","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If the man knocked over the pile of paper towels, than the worker would be mad.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","Grocery store","scenario_1_","3","If the child cried really loud, than the other people in the store would be annoyed","If the child cried really loud, than the other people would have helped it","Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If the child cried really loud, than the other people in the store would be annoyed.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","High school ","scenario_2_","1","If the student forgot his backpack, he would not have a very productive day ","If the student wouldnt have forgotten his backpack, he would not have been so unproductive ","Imagine a typical High school . Now consider this statement about that place

STATEMENT:
If the student forgot his backpack, he would not have a very productive day .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","High school ","scenario_2_","2","If the school lunch was bad, than the students would not want to eat it ","If the school lunch would've been  better, than the students would have eaten more of it ","Imagine a typical High school . Now consider this statement about that place

STATEMENT:
If the school lunch was bad, than the students would not want to eat it .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86707","High school ","scenario_2_","3","If the teacher was very mean, the students would not like them ","If the teacher wouldn't have been so mean, the students would have likes them more ","Imagine a typical High school . Now consider this statement about that place

STATEMENT:
If the teacher was very mean, the students would not like them .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","College","scenario_1_","1","If a student cheated on a test, they would be discipled ","If the student wouldn't have cheated, they wouldn't get disciplined","Imagine a typical College. Now consider this statement about that place

STATEMENT:
If a student cheated on a test, they would be discipled .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","College","scenario_1_","2","If a student failed a class, they would not get credit for it ","If the student wouldn't have failed the class, they woud've gotten credit","Imagine a typical College. Now consider this statement about that place

STATEMENT:
If a student failed a class, they would not get credit for it .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","College","scenario_1_","3","If a student was struggling in a class, they would get a tutor","If the student wasn't struggling in class, they wouldn't have gotten a tutor","Imagine a typical College. Now consider this statement about that place

STATEMENT:
If a student was struggling in a class, they would get a tutor.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Concert","scenario_2_","1","If the band stopped playing music, the crowd would be sad","If the band wouldn't have stopped playing, the crowd wouldn't have been sad","Imagine a typical Concert. Now consider this statement about that place

STATEMENT:
If the band stopped playing music, the crowd would be sad.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Concert","scenario_2_","2","If the band played their best song, the crowd would sing and dance","If the band wouldn't have played their best song, the crowd wouldn't sing and dance","Imagine a typical Concert. Now consider this statement about that place

STATEMENT:
If the band played their best song, the crowd would sing and dance.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Concert","scenario_2_","3","If the band said they were done for the night, the crowd would leave","If the band wouldn't have said they were done for the night, the crowd wouldn't leave","Imagine a typical Concert. Now consider this statement about that place

STATEMENT:
If the band said they were done for the night, the crowd would leave.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Movie Theater","scenario_3_","1","If the movie was about to start, the audience would become quiet","If the movie wasn't about to start, the crowd wouldn't be quiet","Imagine a typical Movie Theater. Now consider this statement about that place

STATEMENT:
If the movie was about to start, the audience would become quiet.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Movie Theater","scenario_3_","2","If there was a jump scare in the movie, the audience would gasp","If there wasn't a jump scare in the movie, the audience wouldn't have gasped","Imagine a typical Movie Theater. Now consider this statement about that place

STATEMENT:
If there was a jump scare in the movie, the audience would gasp.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"86742","Movie Theater","scenario_3_","3","If there was a sad part in the movie, the audience would sigh","If there wasn't a sad part in the movie, the audience wouldn't have sighed","Imagine a typical Movie Theater. Now consider this statement about that place

STATEMENT:
If there was a sad part in the movie, the audience would sigh.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Airport","scenario_3_","1","If the lady forgets her luggage bag at the check-in desk, then she will possibly miss her flight.","If the lady would've remembered her luggage bag at the check-in desk, then she would not have missed her flight.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the lady forgets her luggage bag at the check-in desk, then she will possibly miss her flight..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Airport","scenario_3_","2","If the man drinks too many drinks before getting on the airplane, then he will act up on the flight.","If the man would've not had too many drinks before getting on the airplane, then he would've behaved himself.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the man drinks too many drinks before getting on the airplane, then he will act up on the flight..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Airport","scenario_3_","3","If the woman brings a lime green luggage bag to the terminal, then the baggage carrier willbe able to pick it out easily from others.","If the woman would've have brought a lime green luggage bag, then it would have been easy for the baggage carrier to pick it out from others.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If the woman brings a lime green luggage bag to the terminal, then the baggage carrier willbe able to pick it out easily from others..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Backyard barbecue","scenario_2_","1","If the person grilling forgets to check the food, then there will be no food to eat.","If the person would've checked the food they were grilling, then there would have been food to eat.","Imagine a typical Backyard barbecue. Now consider this statement about that place

STATEMENT:
If the person grilling forgets to check the food, then there will be no food to eat..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Backyard barbecue","scenario_2_","2","If the party is without alcohol to drink, then it won't be as fun.","If the party would've included alcohol to drink, then it would've been more fun.","Imagine a typical Backyard barbecue. Now consider this statement about that place

STATEMENT:
If the party is without alcohol to drink, then it won't be as fun..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Backyard barbecue","scenario_2_","3","If the stereo breaks, then there won't be music to dance to. ","If the stereo wouldn't have broken, then there would have been music to dance to.","Imagine a typical Backyard barbecue. Now consider this statement about that place

STATEMENT:
If the stereo breaks, then there won't be music to dance to. .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
"A11YS0T8MV3Q7C","Football game","scenario_1_","1","If the home team quarterback throws a touchdown pass, then the crowd will scream.","If the home team quarterback would've thrown a touchdown pass, then the crowd would have screamed.","Imagine a typical Football game. Now consider this statement about that place

STATEMENT:
If the home team quarterback throws a touchdown pass, then the crowd will scream..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number."
